name,profileUrl,website,founderName,linkedinUrl
Hadrius,https://www.ycombinator.com/companies/hadrius,https://www.hadrius.com,Som Mohapatra,http://linkedin.com/in/som-mohapatra
Haven,https://www.ycombinator.com/companies/haven-2,https://www.usehaven.ai/,Juan Burgos,https://www.linkedin.com/in/juan-burgos-0527391b8/
Haven,https://www.ycombinator.com/companies/haven-2,https://www.usehaven.ai/,Satya Koppu,https://www.linkedin.com/in/satya-koppu/
Polo,https://www.ycombinator.com/companies/polo,https://polotab.com,Andres Richardson,http://www.linkedin.com/in/andres-richardson-41411a167
Polo,https://www.ycombinator.com/companies/polo,https://polotab.com,Juan Chomali,https://www.linkedin.com/in/jchomali
Polo,https://www.ycombinator.com/companies/polo,https://polotab.com,Aldo Piaggio,https://www.linkedin.com/in/aldo-piaggio-59227418b
Coperniq,https://www.ycombinator.com/companies/coperniq,https://coperniq.io,Abdullah Al Zandani,https://www.linkedin.com/in/azandani/
Coperniq,https://www.ycombinator.com/companies/coperniq,https://coperniq.io,Max Kazakov,https://www.linkedin.com/in/mxkzk/
FlexWash,https://www.ycombinator.com/companies/flexwash,https://www.flexwashtech.com/,Karan Toor,https://www.linkedin.com/in/currentoor/
FlexWash,https://www.ycombinator.com/companies/flexwash,https://www.flexwashtech.com/,Chirag Toor,https://www.linkedin.com/in/chirag-singh-toor-94713aa7/
Pledge Health,https://www.ycombinator.com/companies/pledge-health,https://www.pledge.health/,Shreya Jagarlamudi,https://www.linkedin.com/in/shreya-j/
Pledge Health,https://www.ycombinator.com/companies/pledge-health,https://www.pledge.health/,Andrew Tang,https://www.linkedin.com/in/andrew-tang-033a6088/
Trackstar,https://www.ycombinator.com/companies/trackstar,https://www.trackstarhq.com/,Jeremy Schneck,https://www.linkedin.com/in/jeremy-schneck-a67b5479/
Trackstar,https://www.ycombinator.com/companies/trackstar,https://www.trackstarhq.com/,Daniel Langer,https://www.linkedin.com/in/daniel-langer-84846548/
Lume,https://www.ycombinator.com/companies/lume-2,https://www.lume.ai,Robert Ross,https://www.linkedin.com/in/robertross04
Lume,https://www.ycombinator.com/companies/lume-2,https://www.lume.ai,Nicolas Machado,https://www.linkedin.com/in/machado-nicolas
Lume,https://www.ycombinator.com/companies/lume-2,https://www.lume.ai,Nebyou Zewde,https://www.linkedin.com/in/nebyou-zewde-b6ba02157/
Versori,https://www.ycombinator.com/companies/versori,https://www.versori.com/,Sean Brown,https://www.linkedin.com/in/sean1brown/
Versori,https://www.ycombinator.com/companies/versori,https://www.versori.com/,Dan Jones,https://www.linkedin.com/in/dan-jones25217
rift,https://www.ycombinator.com/companies/rift,https://rift.com,Fil Twarowski,https://www.linkedin.com/in/filip-twarowski-00996a54/
rift,https://www.ycombinator.com/companies/rift,https://rift.com,Edvard Eriksson,https://www.linkedin.com/in/edvarderiksson/
Miracle,https://www.ycombinator.com/companies/miracle,http://www.miracleml.com,Jin Kim,https://www.linkedin.com/in/jinkimx10/
AccessOwl,https://www.ycombinator.com/companies/accessowl,https://www.accessowl.io/,Philip Eller,https://de.linkedin.com/in/philip-eller-7667238b
AccessOwl,https://www.ycombinator.com/companies/accessowl,https://www.accessowl.io/,Mathias Nestler,https://www.linkedin.com/in/mathias-nestler-a8436044/
Cone,https://www.ycombinator.com/companies/cone,https://www.getcone.io,Jahangir Mohammed,https://www.linkedin.com/in/jahangir27/
Cone,https://www.ycombinator.com/companies/cone,https://www.getcone.io,Bharath Kumar Reddy,https://www.linkedin.com/in/bharath-k-r
MovingLake,https://www.ycombinator.com/companies/movinglake,https://movinglake.com,Andres Paez,https://www.linkedin.com/in/andrespaezmartinez/
MovingLake,https://www.ycombinator.com/companies/movinglake,https://movinglake.com,Edgar Cabrera,https://www.linkedin.com/in/edgarcabrera-dev/
Entvin,https://www.ycombinator.com/companies/entvin,http://entvin.com?utm_source=yc,Sanskar Jain,http://www.linkedin.com/in/sanskarjain
Entvin,https://www.ycombinator.com/companies/entvin,http://entvin.com?utm_source=yc,Hemant Phalak,https://www.linkedin.com/in/hemantphalak/
Oneleet,https://www.ycombinator.com/companies/oneleet,https://oneleet.com,Bryan Onel,https://nl.linkedin.com/in/bryan-onel/
Oneleet,https://www.ycombinator.com/companies/oneleet,https://oneleet.com,Ora Onel,https://www.linkedin.com/in/ora-touitou/
Superbar (Formerly Caddie),https://www.ycombinator.com/companies/superbar-formerly-caddie,http://www.superbar.ai,Alan Nowogrodski,https://www.linkedin.com/in/alannowogrodski/
Patika,https://www.ycombinator.com/companies/patika,https://www.sanifu.ai,Sidney Rema,https://www.linkedin.com/in/sidney-rema-90138658/
Patika,https://www.ycombinator.com/companies/patika,https://www.sanifu.ai,Phelix Juma,https://www.linkedin.com/in/phelix-juma-80877193/
Relate,https://www.ycombinator.com/companies/relate,https://www.relate.so/,SJ (Sangyong) Jung,https://www.linkedin.com/in/sangyongjung
Relate,https://www.ycombinator.com/companies/relate,https://www.relate.so/,Arthur (Hyun June) Kim,https://www.linkedin.com/in/kimmarthur/
CompUp,https://www.ycombinator.com/companies/compup,https://www.compup.io,Anurag Dixit,https://www.linkedin.com/in/anurag-dixit-131838a5/
CompUp,https://www.ycombinator.com/companies/compup,https://www.compup.io,Ramesh Konatham,https://www.linkedin.com/in/ramesh-k-b6044b51/
CompUp,https://www.ycombinator.com/companies/compup,https://www.compup.io,Anshul Mishra,https://www.linkedin.com/in/anshul-mishra01/
Unthread,https://www.ycombinator.com/companies/unthread,https://unthread.io,Tom Bachant,https://linkedin.com/in/tombachant
Unthread,https://www.ycombinator.com/companies/unthread,https://unthread.io,Jake McCloskey,https://www.linkedin.com/in/jakemccloskey
Peoplebox,https://www.ycombinator.com/companies/peoplebox,https://www.peoplebox.ai,Abhinav Chugh,https://www.linkedin.com/in/abhinavchugh/
Peoplebox,https://www.ycombinator.com/companies/peoplebox,https://www.peoplebox.ai,Alagu M,https://www.linkedin.com/in/alagu2/
Peoplebox,https://www.ycombinator.com/companies/peoplebox,https://www.peoplebox.ai,Peoplebox,https://www.linkedin.com/in/abhinavchugh/
Sytex,https://www.ycombinator.com/companies/sytex,https://www.sytex.io,Mariano Lisiotti,https://www.linkedin.com/in/mariano-lisiotti-0635622/
Sytex,https://www.ycombinator.com/companies/sytex,https://www.sytex.io,Juan Alvarez,https://www.linkedin.com/in/jualvarez/
Sytex,https://www.ycombinator.com/companies/sytex,https://www.sytex.io,Juanjo Ferrero,https://www.linkedin.com/in/juanjo-ferrero-926026b9/
Sytex,https://www.ycombinator.com/companies/sytex,https://www.sytex.io,Federico Garcia Dura,https://www.linkedin.com/in/federico-garcia-dura
Pivot,https://www.ycombinator.com/companies/pivot,https://www.trypivot.xyz/,Raimie Tang,https://www.linkedin.com/in/raimie-tang/
Pivot,https://www.ycombinator.com/companies/pivot,https://www.trypivot.xyz/,Arvind Ramesh,https://www.linkedin.com/in/arvindbramesh/
Aragorn AI,https://www.ycombinator.com/companies/aragorn-ai,https://www.aragorn.ai,Ed Adjei,https://www.linkedin.com/in/adjeie/
Aragorn AI,https://www.ycombinator.com/companies/aragorn-ai,https://www.aragorn.ai,Gladys Adjei,https://www.linkedin.com/in/gladys-adjei-49b81045
Popsy,https://www.ycombinator.com/companies/popsy,https://popsy.ai,Miha Mlakar,https://www.linkedin.com/in/mlakarmiha
Boostly,https://www.ycombinator.com/companies/boostly,https://boostly.com,Shane Murphy,https://www.linkedin.com/in/shanelmurphy/
Boostly,https://www.ycombinator.com/companies/boostly,https://boostly.com,Mikey Murphy,https://www.linkedin.com/in/mikeymurphy/
Paragon AI,https://www.ycombinator.com/companies/paragon-ai,https://paragon.ai,Max Lu,https://www.linkedin.com/in/maxwell-lu-60b85269
Blitz,https://www.ycombinator.com/companies/blitz,https://www.blitznocode.com/,Loic Veillard,https://www.linkedin.com/in/loic-veillard
Bunting Labs,https://www.ycombinator.com/companies/bunting-labs,https://buntinglabs.com,Michael Egan,https://www.linkedin.com/in/michael-egan-4941a4145/
Bunting Labs,https://www.ycombinator.com/companies/bunting-labs,https://buntinglabs.com,Brendan Ashworth,https://www.linkedin.com/in/brendanashworth/
Dittofeed,https://www.ycombinator.com/companies/dittofeed,http://dittofeed.com,Chandler Craig,https://www.linkedin.com/in/chandler-craig-90
Dittofeed,https://www.ycombinator.com/companies/dittofeed,http://dittofeed.com,Maxwell Gurewitz,https://linkedin.com/in/max-gurewitz-6a848966
Chordio,https://www.ycombinator.com/companies/chordio,https://prdkit.ai,Ehud Halberstam,http://www.linkedin.com/in/halberstam
Chordio,https://www.ycombinator.com/companies/chordio,https://prdkit.ai,Amit Bar,https://il.linkedin.com/in/amithalb
Banabo,https://www.ycombinator.com/companies/banabo,https://www.banabo.io/,Colin Snyder,https://www.linkedin.com/in/colin7snyder/
Onboard.io,https://www.ycombinator.com/companies/onboard-io,https://onboard.io,Jeffrey D. Epstein,https://www.linkedin.com/in/epsteinjeffrey
Onboard.io,https://www.ycombinator.com/companies/onboard-io,https://onboard.io,Will Stevenson,https://www.linkedin.com/in/stevensonwilliaml/
Cinapse,https://www.ycombinator.com/companies/cinapse,https://cinapse.io,Herman Phillips,https://www.linkedin.com/in/hgphillipsiv/
